bw_path	group	sample_id	color_code
ACCx_2A5AE757_20D5_49B6_95FF_CAE08E8197A0_X012_S05_L033_B1_T1_P024.insertions.chr21.bw	ACCx	ACCx_3	#8DD3C7
ACCx_3D0CD3BD_3960_46FB_92C3_777F11CCD0FC_X011_S06_L011_B1_T1_P024.insertions.chr21.bw	ACCx	ACCx_5	#8DD3C7
BLCA_3E71B261_9C29_4025_973A_3901B0826643_X009_S04_L032_B1_T2_P029.insertions.chr21.bw	BLCA	BLCA_4	#FFFFB3
BLCA_3E71B261_9C29_4025_973A_3901B0826643_X009_S04_L031_B1_T1_P021.insertions.chr21.bw	BLCA	BLCA_3	#FFFFB3
BRCA_0142AAAC_FFE8_43B7_AB99_02F7A1740567_X022_S06_L058_B1_T2_P051.insertions.chr21.bw	BRCA	BRCA_5	#FFED6F
BRCA_0142AAAC_FFE8_43B7_AB99_02F7A1740567_X022_S06_L057_B1_T1_P050.insertions.chr21.bw	BRCA	BRCA_4	#FFED6F
CHOL_39DCFAD0_1750_4418_9643_B5F2EAD9632A_X014_S08_L015_B1_T1_P046.insertions.chr21.bw	CHOL	CHOL_5	#FB8072
COAD_0914606C_2CA1_4287_B530_DB70EA93ED6C_X022_S02_L050_B1_T1_P053.insertions.chr21.bw	COAD	COAD_1	#80B1D3
COAD_0914606C_2CA1_4287_B530_DB70EA93ED6C_X022_S02_L051_B1_T2_P050.insertions.chr21.bw	COAD	COAD_2	#80B1D3
COAD_0B139EBC_D372_4EC3_90DB_4CC9BC6F38DC_X006_S05_L038_B1_T1_P012.insertions.chr21.bw	COAD	COAD_3	#80B1D3
COAD_0B139EBC_D372_4EC3_90DB_4CC9BC6F38DC_X006_S05_L039_B1_T2_P014.insertions.chr21.bw	COAD	COAD_4	#80B1D3
ESCA_1E6AC686_96C2_46C4_A451_12D30114DD06_X012_S02_L027_B1_T1_P024.insertions.chr21.bw	ESCA	ESCA_1	#FDB462
ESCA_22102BD7_4D9F_4914_84D0_C64E2CB0D8C1_X018_S02_L027_B1_T1_P040.insertions.chr21.bw	ESCA	ESCA_5	#FDB462
GBMx_09C0DCE7_D669_4D28_980D_BF71179116A4_X008_S01_L002_B1_T2_P020.insertions.chr21.bw	GBMx	GBMx_2	#B3DE69
HNSC_19453A09_733B_4E0B_AD43_90DFE9374598_X037_S10_L068_B1_T2_P093.insertions.chr21.bw	HNSC	HNSC_2	#FCCDE5
HNSC_2790E71B_7C59_4237_8DD6_5FDE8971AFDC_X037_S07_L061_B1_T1_P091.insertions.chr21.bw	HNSC	HNSC_3	#FCCDE5
KIRC_26756D07_DF00_425A_853F_93B4E5617D46_X022_S04_L054_B1_T1_P049.insertions.chr21.bw	KIRC	KIRC_5	#D9D9D9
KIRC_0BCD21B9_CB40_447A_A948_1E81C1639D73_X004_S11_L060_B1_T1_PMRG.insertions.chr21.bw	KIRC	KIRC_3	#D9D9D9
KIRP_042753BE_85C4_4099_8D32_D0CB0E1EB4DD_X017_S10_L019_B1_T1_P040.insertions.chr21.bw	KIRP	KIRP_1	#BC80BD
LGGx_116B070A_3412_4866_87B9_8337AD92CA94_X022_S11_L067_B1_T2_P048.insertions.chr21.bw	LGGx	LGGx_2	#CCEBC5
