sample_id	group	color_code	bw_path	bed_path
ACCx_1	ACCx	#8DD3C7	ACCx_025FE5F8_885E_433D_9018_7AE322A92285_X034_S09_L133_B1_T1_PMRG.insertions.chr21.bw	ACCx_1.bed
ACCx_2	ACCx	#8DD3C7	ACCx_025FE5F8_885E_433D_9018_7AE322A92285_X034_S09_L134_B1_T2_PMRG.insertions.chr21.bw	ACCx_2.bed
ACCx_3	ACCx	#8DD3C7	ACCx_2A5AE757_20D5_49B6_95FF_CAE08E8197A0_X012_S05_L033_B1_T1_P024.insertions.chr21.bw	ACCx_3.bed
ACCx_4	ACCx	#8DD3C7	ACCx_2A5AE757_20D5_49B6_95FF_CAE08E8197A0_X012_S05_L034_B1_T2_P025.insertions.chr21.bw	ACCx_4.bed
ACCx_5	ACCx	#8DD3C7	ACCx_3D0CD3BD_3960_46FB_92C3_777F11CCD0FC_X011_S06_L011_B1_T1_P024.insertions.chr21.bw	ACCx_5.bed
BLCA_1	BLCA	#FFFFB3	BLCA_1067A79F_15D6_4D64_BBC3_268BE15434A1_X019_S01_L048_B1_T1_P041.insertions.chr21.bw	BLCA_1.bed
BLCA_2	BLCA	#FFFFB3	BLCA_1067A79F_15D6_4D64_BBC3_268BE15434A1_X019_S01_L049_B1_T2_P039.insertions.chr21.bw	BLCA_2.bed
BLCA_3	BLCA	#FFFFB3	BLCA_3E71B261_9C29_4025_973A_3901B0826643_X009_S04_L031_B1_T1_P021.insertions.chr21.bw	BLCA_3.bed
BLCA_4	BLCA	#FFFFB3	BLCA_3E71B261_9C29_4025_973A_3901B0826643_X009_S04_L032_B1_T2_P029.insertions.chr21.bw	BLCA_4.bed
BLCA_5	BLCA	#FFFFB3	BLCA_6728BCB4_B161_41DD_BF27_16000A1A9A94_X018_S09_L040_B1_T1_P041.insertions.chr21.bw	BLCA_5.bed
BRCA_1	BRCA	#FFED6F	BRCA_000CFD9F_ADDF_4304_9E60_6041549E189C_X017_S06_L012_B1_T2_P046.insertions.chr21.bw	BRCA_1.bed
BRCA_2	BRCA	#FFED6F	BRCA_01112370_4F6F_4A20_9BE0_7975C3465268_X017_S04_L007_B1_T1_P042.insertions.chr21.bw	BRCA_2.bed
